latitude,longitude,intensity
34.239811,-118.529242,0.896291694
34.240129,-118.524734,0.593219443
34.240306,-118.525072,0.646850061
34.240195,-118.525045,0.308624475
34.240124,-118.525115,0.635309314
34.240027,-118.525088,0.245822339
34.239925,-118.52504,0.817054667
34.239832,-118.524917,0.400938513
34.239721,-118.524895,0.362200448
34.239623,-118.52497,0.346286746
34.239543,-118.524863,0.48899218
34.239459,-118.524959,0.899443499
34.239965,-118.525479,0.836834784
34.23988,-118.525431,0.502914362
34.240111,-118.526348,0.543699442
34.240129,-118.52623,0.499079828
34.240067,-118.526192,0.459342785
34.239894,-118.526005,0.364922511
34.239814,-118.52594,0.417360652
34.240053,-118.526878,0.950019604
34.240005,-118.526889,0.724770976
34.24008,-118.526831,0.985187672
34.239947,-118.52711,0.726413162
34.239876,-118.527083,0.736123031
34.239885,-118.526879,0.650563773
34.239543,-118.527083,0.224191227
34.239614,-118.526472,0.917827056
