latitude,longitude,intensity
34.239499,-118.527052,0.68
34.239468,-118.527117,0.79
34.239863,-118.528012,0.72
34.239832,-118.527663,0.56
34.239428,-118.528204,0.31
34.239948,-118.529190,0.46
34.240058,-118.529523,0.65
34.240076,-118.529797,0.59
34.240275,-118.528109,0.85
34.240226,-118.527883,0.74
34.240211,-118.527739,0.6
34.239564,-118.528221,0.76
34.239431,-118.528371,0.65
34.239378,-118.528221,0.49
34.239378,-118.528221,0.43
34.239060,-118.527179,0.48
34.239100,-118.526921,0.77
34.239566,-118.526950,0.57
34.239481,-118.527073,0.74
34.239450,-118.527164,0.65
34.239388,-118.526778,0.62
34.239388,-118.526778,0.73
34.239968,-118.526873,0.61
34.239910,-118.527066,0.49
34.239937,-118.527179,0.43
34.240101,-118.527050,0.5
34.240101,-118.527050,0.68
34.240391,-118.526606,0.54
34.240002,-118.526373,0.9
34.240028,-118.526180,0.74
34.240011,-118.526335,0.61
34.239829,-118.526239,0.84
34.239920,-118.525480,0.61
34.239863,-118.525475,0.43
34.239841,-118.525743,0.34
34.239796,-118.525577,0.5
34.239614,-118.525480,0.73
34.239619,-118.525571,0.54
34.239570,-118.525630,0.79
34.239634,-118.525398,0.76
34.239918,-118.525066,0.62
34.239776,-118.524937,0.72
34.239563,-118.524959,0.73
34.239664,-118.527733,0.57
34.240335,-118.524800,0.45
34.239642,-118.527545,0.49
34.239859,-118.526693,0.77
34.239806,-118.525937,0.54
34.239788,-118.5260775,0.83
34.239600,-118.526516,0.77
